Empresa,COD_LOCAL,VELOC_VIA,VELOC_MARCA,VIA,SENTIDO,PISTA,Latitude,Longitude,Enquadramento_fiscalizados,Data_inicio_operacao,DESC_LOCAL,,,,,,,,,,,,,,,,,
L4,2411,60,68,,,,'-23.63267099999999800,'-46.68159500000000200,,,AVENIDA,PROFESSOR,VICENTE,RAO,(DIADEMA/MARGINAL),OPOSTO,AO,NUMERO,894,,,,,,,,,
L4,2412,50,58,,,,'-23.63249400000000100,'-46.68148800000000200,,,AV,PROF.,VICENTE,RAO,(MARGINAL/DIADEMA),NUMERO,860,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,
L4,2413,60,68,,,,'-23.63249400000000100,'-46.68148800000000200,,,AVENIDA,PROFESSOR,VICENTE,RAO,(MARGINAL/DIADEMA),NUMERO,860,,,,,,,,,,,
L4,2414,50,58,,,,'-23.64949199999999900,'-46.75163299999999800,,,ESTRADA,DE,ITAPECERICA,(BAIRRO/CENTRO),NUMERO,1873,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,
L4,2415,60,68,,,,'-23.64949199999999900,'-46.75163299999999800,,,ESTRADA,DE,ITAPECERICA,(BAIRRO/CENTRO),NUMERO,1873,,,,,,,,,,,,
L4,2416,50,58,,,,'-23.64868500000000000,'-46.74994300000000200,,,ESTRADA,DE,ITAPECERICA,(CENTRO/BAIRRO),NUMERO,1742,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,
L4,2417,60,68,,,,'-23.64868500000000000,'-46.74994300000000200,,,ESTRADA,DE,ITAPECERICA,(CENTRO/BAIRRO),NUMERO,1742,,,,,,,,,,,,
L4,2418,60,68,,,,'-23.69041800000000100,'-46.68652000000000200,,,RUA,MIGUEL,YUNES,(BAIRRO/CENTRO),A,MENOS,45,METROS,DA,RUA,TABARE,,,,,,,
L4,2419,60,68,,,,'-23.69052100000000000,'-46.68662299999999700,,,RUA,MIGUEL,YUNES,(CENTRO/BAIRRO),A,MENOS,170,METROS,DO,NUMERO,343,,,,,,,
L4,2420,50,58,,,,'-23.67869200000000000,'-46.70684100000000000,,,RUA,OLIVIA,GUEDES,PENTEADO,(BAIRRO/CENTRO),OPOSTO,AO,NUMERO,1354,,,,,,,,,
L4,2421,50,58,,,,'-23.67882000000000000,'-46.70677600000000000,,,RUA,OLIVIA,GUEDES,PENTEADO,(CENTRO/BAIRRO),NUMERO,1354,,,,,,,,,,,
L4,2422,50,58,,,,'-23.67462300000000000,'-46.71229900000000200,,,AV,ATLANTICA(B/C),A,MAIS,"91,5",METROS,DA,AV,DO,RIO,BONITO-FX,EXCLUSIVA,DE,ONIBUS,,,,
L4,2423,60,68,,,,'-23.67462300000000000,'-46.71229900000000200,,,AVENIDA,ATLANTICA,(BAIRRO/CENTRO),A,MAIS,"91,5",METROS,DA,AVENIDA,DO,RIO,BONITO,,,,,,
L4,2424,50,58,,,,'-23.69586599999999900,'-46.71512200000000100,,,AV,ATLANTICA,(C/B),A,MENOS,12,METROS,DA,RUA,PORTO,ARTUR-FX,EXCLUSIVA,DE,ONIBUS,,,,
L4,2425,60,68,,,,'-23.69586599999999900,'-46.71512200000000100,,,AVENIDA,ATLANTICA,(CENTRO/BAIRRO),A,MENOS,12,METROS,DA,RUA,PORTO,ARTUR,,,,,,,
L4,2426,50,58,,,,'-23.67437899999999800,'-46.71231499999999700,,,AVENIDA,ATLANTICA,(CENTRO/BAIRRO),NUMERO,1000,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,,
L4,2427,60,68,,,,'-23.67437899999999800,'-46.71231499999999700,,,AVENIDA,ATLANTICA,(CENTRO/BAIRRO),NUMERO,1000,,,,,,,,,,,,,
L4,2428,50,58,,,,'-23.69576800000000100,'-46.71473700000000000,,,AV,ATLANTICA,(B/C),A,MENOS,"20,8",METROS,DO,NUMERO,3771-FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,
L4,2429,60,68,,,,'-23.69576800000000100,'-46.71473700000000000,,,AVENIDA,ATLANTICA,(BAIRRO/CENTRO),A,MENOS,"20,8",METROS,DO,NUMERO,3771,,,,,,,,
L4,2430,50,58,,,,'-23.74056399999999900,'-46.70425000000000200,,,AV,SENADOR,TEOTONIO,VILELA,(CENTRO/BAIRRO),NR,4548,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,
L4,2431,60,68,,,,'-23.74056399999999900,'-46.70425000000000200,,,AVENIDA,SENADOR,TEOTONIO,VILELA,(CENTRO/BAIRRO),NUMERO,4548,,,,,,,,,,,
,2432,50,58,,,,,,,,AV,SENADOR,TEOTONIO,VILELA,(BAIRRO/CENTRO),NR,4548,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,
,2433,60,68,,,,,,,,AVENIDA,SENADOR,TEOTONIO,VILELA,(BAIRRO/CENTRO),NUMERO,4548,,,,,,,,,,,
L4,2434,50,58,,,,'-23.65848899999999900,'-46.66379200000000100,,,AV,VEREADOR,JOAO,DE,LUCA,(MARGINAL/DIADEMA),NR,1790-FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,
L4,2435,60,68,,,,'-23.65848899999999900,'-46.66379200000000100,,,AVENIDA,VEREADOR,JOAO,DE,LUCA,(MARGINAL/DIADEMA),NUMERO,1790,,,,,,,,,,
L4,2436,50,58,,,,'-23.65848000000000100,'-46.66353199999999600,,,AV,VER,JOAO,DE,LUCA,(DIAD/MARG),A,MAIS20M,DA,TV,OCTAVIO,A,SAMPAIO-FX,EXC,ONIBUS,,,
L4,2437,60,68,,,,'-23.65848000000000100,'-46.66353199999999600,,,AV,VEREADOR,JOAO,DE,LUCA,(DIAD/MARG),A,MAIS,20M,DA,TV,OCTAVIO,DE,ABREU,SAMPAIO,,,
L4,2438,60,68,,,,'-23.55177700000000100,'-46.74109299999999900,,,AVENIDA,JAGUARE,(BAIRRO/CENTRO),X,PRACA,FRANCISCO,LUIZ,GONZAGA,,,,,,,,,,
L4,2439,60,68,,,,'-23.55265199999999800,'-46.74169899999999700,,,AVENIDA,JAGUARE,(CENTRO/BAIRRO),X,PRACA,FRANCISCO,LUIZ,GONZAGA,,,,,,,,,,
L4,2440,60,68,,,,'-23.58706700000000100,'-46.72413600000000100,,,AVENIDA,JORGE,JOAO,SAAD(BAIRRO/CENTRO),X,AVENIDA,PROFESSOR,FRANCISCO,MORATO,,,,,,,,,
L4,2441,60,68,,,,'-23.66007799999999900,'-46.76933700000000000,,,ESTRADA,DE,ITAPECERICA(ITAPECERICA/SP),X,AV,PROF,DOUTOR,TELEMACO,H,M,V,LANDENDONK,,,,,,
L4,2442,60,68,,,,'-23.66006300000000100,'-46.76891700000000200,,,ESTRADA,DE,ITAPECERICA(SP/ITAPECERICA),X,AVENIDA,CARLOS,CALDEIRA,FILHO,,,,,,,,,,
L4,2443,70,78,Local,CB/I,Marginal Pinheiros,'-23.66478300000000000,'-46.70945700000000000,,,AV,DAS,NACOES,UNIDAS,(CASTELO,BRANCO/INTERLAGOS),A,MENOS,50,METROS,DO,NR,20728,,,,,
L4,2444,70,78,Local,I/CB,Marginal Pinheiros,'-23.66443800000000000,'-46.70948400000000300,,,AV,DAS,NACOES,UNIDAS,(INTERLAGOS/C.,BRANCO),A,MENOS,18M,DA,AV,VITOR,MANZINI,,,,,
L4,2445,70,78,Central,I/CB,Marginal Pinheiros,'-23.58655500000000100,'-46.69068099999999800,,,AV,DAS,NACOES,UNIDAS-PISTA,CENTRAL-(INTERLAGOS/C.,BRANCO),A,MENOS,23M,DO,KM,"9,5",,,,,,
L4,2446,70,78,Central,I/CB,Marginal Pinheiros,'-23.55763400000000000,'-46.71139900000000000,,,AV,DAS,NACOES,UNIDAS-PISTA,CENTRAL-(INTERLAGOS/C.BRANCO),A,MENOS,"7,3M",DO,KM,"5,5",,,,,,,
L4,2447,70,78,Local,I/CB,Marginal Pinheiros,'-23.55747800000000000,'-46.71131499999999900,,,AV,DAS,NACOES,UNIDAS-PTA,LOCAL-(INT/C.,BRANCO),A,MAIS,140M,DA,AV,DOS,SEMANEIROS,,,,,
,2448,60,68,,,,,,,,AV,DOS,BANDEIRANTES(MARGINAL/IMIGRANTES),A,MAIS,34,METROS,DA,AV,WASHINGTON,LUIS,,,,,,,
L4,2449,60,68,,,,'-23.60411500000000000,'-46.74531600000000300,,,AV,PROF,FRANCISCO,MORATO,(CENTRO/BAIRRO),A,MAIS,200M,DA,RUA,CARLOS,DE,MESQUITA,,,,,
L4,2450,60,68,,,,'-23.60492100000000100,'-46.74566699999999700,,,AV,PROF,FRANCISCO,MORATO,(B/C),A,MAIS133M,DA,AV,DR,GUILHERME,DUMONT,VILARES,,,,,
L4,2451,60,68,,,,'-23.58125499999999900,'-46.72330900000000000,,,AVENIDA,ELISEU,DE,ALMEIDA,"(BAIRRO/CENTRO),",NUMERO,1125,,,,,,,,,,,
L4,2452,60,68,,,,'-23.58104700000000200,'-46.72342700000000100,,,AVENIDA,ELISEU,DE,ALMEIDA,(CENTRO/BAIRRO),NUMERO,1370,,,,,,,,,,,
L4,2453,60,68,,,,'-23.64752199999999900,'-46.75782399999999900,,,AV,CARLOS,CALDEIRA,FILHO,(BAIRRO/CENTRO),A,MAIS,140M,DA,ESTRADA,DO,CAMPO,LIMPO,,,,,
L4,2454,60,68,,,,'-23.65842100000000100,'-46.76768100000000300,,,AV,CARLOS,CALDEIRA,FILHO,(BAIRRO/CENTRO),A,MENOS,70,METROS,DA,R,TULIO,MUGNAINI,,,,,
L4,2455,60,68,,,,'-23.64521200000000100,'-46.75032399999999900,,,AVENIDA,CARLOS,CALDEIRA,FILHO,(CENTRO/BAIRRO),OPOSTO,AO,NUMERO,2000,,,,,,,,,
L4,2456,60,68,,,,'-23.65132500000000000,'-46.76070000000000000,,,AVENIDA,CARLOS,CALDEIRA,FILHO,(CENTRO/BAIRRO),A,MAIS,230,METROS,DO,NUMERO,3001,,,,,,
L4,2457,70,78,,,,'-23.54746400000000200,'-46.73030500000000100,,,AVENIDA,DAS,NACOES,UNIDAS-PISTA,LOCAL-,(INTERLAGOS/CASTELO,BRANCO),NUMERO,2312,,,,,,,,,
L4,2458,60,68,,,,'-23.62360800000000100,'-46.66154499999999700,,,AV,WASHINGTON,LUIS,(BAIRRO/CENTRO),A,MAIS,167M,DA,PASSARELA,COM.,ROLIM,A.,AMARO,,,,,
L4,2459,60,68,,,,'-23.62365700000000100,'-46.66183099999999900,,,AVENIDA,WASHINGTON,LUIS,(CENTRO/BAIRRO),NUMERO,6831,,,,,,,,,,,,
L4,2460,50,58,,,,'-23.70485899999999900,'-46.68742000000000300,,,AVENIDA,JAIR,RIBEIRO,DA,SILVA,(C/B),X,RUA,ALFREDO,FERREIRA,DE,CARVALHO,,,,,,
L4,2461,50,58,,,,'-23.70504199999999900,'-46.68730200000000300,,,AVENIDA,JAIR,RIBEIRO,DA,SILVA,(B/C),X,RUA,ALFREDO,FERREIRA,DE,CARVALHO,,,,,,
L4,2462,50,58,,,,'-23.63595400000000200,'-46.67786400000000000,,,AV,PROF,VICENTE,RAO,(W.,LUIS/M.,"PINHEIROS),",NR,1405,#NAME?,EXCLUSIVA,DE,ONIBUS,,,,,
L4,2463,60,68,,,,'-23.63595400000000200,'-46.67786400000000000,,,AVENIDA,PROFESSOR,VICENTE,RAO,(WASHINGTON,LUIS/MARGINAL,PINHEIROS),NUMERO,1405,,,,,,,,,
L4,2464,50,58,,,,'-23.63601299999999800,'-46.67801330000000300,,,AV,PROF,VICENTE,RAO,(M.,PINHEIROS/W.,"LUIS),",A,MAIS,140,M,DO,N,1262-FX,EXCL,ONIB,,
L4,2465,60,68,,,,'-23.63601299999999800,'-46.67801330000000300,,,AV,PROFESSOR,VICENTE,RAO,(M.,PINHEIROS/W.,LUIS),A,MAIS,140,M,DO,NUMERO,1262,,,,
L4,2466,60,68,,,,'-23.60140000000000200,'-46.74800900000000300,,,AV,PIRAJUSSARA,"(CENTRO/BAIRRO),",A,MAIS,70,METROS,DA,AV,DR,EZEQUIEL,CAMPOS,DIAS,,,,,
L4,2467,60,68,,,,'-23.60933500000000200,'-46.71282600000000000,,,AVENIDA,MORUMBI,(PONTE,MORUMBI/PALACIO,DO,"GOVERNO),",NUMERO,5101,,,,,,,,,,
L4,2468,60,68,,,,'-23.59974899999999900,'-46.70865599999999800,,,AV,MORUMBI,(PONTE,MORUMBI/FRANCISCO,"MORATO),",A,MENOS,20,METROS,DO,NUMERO,3555,,,,,,
L4,2469,60,68,,,,'-23.67775899999999800,'-46.68273500000000100,,,AVENIDA,INTERLAGOS,"(BAIRRO/CENTRO),",NUMERO,2825,,,,,,,,,,,,,
L4,2470,60,68,,,,'-23.67740399999999900,'-46.68287999999999700,,,AVENIDA,INTERLAGOS,"(CENTRO/BAIRRO),",NUMERO,2974,,,,,,,,,,,,,
L4,2471,50,58,,,,'-23.76406899999999900,'-46.71628200000000000,,,AV,SENADOR,TEOTONIO,VILELA,"(B/C),",OPOSTO,AO,NR,6686,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,
L4,2472,60,68,,,,'-23.76406899999999900,'-46.71628200000000000,,,AVENIDA,SENADOR,TEOTONIO,VILELA,"(BAIRRO/CENTRO),",OPOSTO,AO,NUMERO,6686,,,,,,,,,
L4,2473,50,58,,,,'-23.72067099999999900,'-46.69784200000000100,,,AV,SEN,TEOTONIO,VILELA,"(B/C),",A,MENOS48M,DA,AV,PR,JOAO,GOULART-FX,EXCL,ONIBUS,,,,
L4,2474,60,68,,,,'-23.72067099999999900,'-46.69784200000000100,,,AV,SENADOR,TEOTONIO,VILELA,"(B/C),",A,MENOS,48,METROS,DA,AV,PR,JOAO,GOULART,,,,
L4,2475,50,58,,,,'-23.64601700000000000,'-46.67119199999999800,,,AV,VER,JOAO,DE,LUCA,(DIADEMA/MARG,"PINHEIROS),",NR,221,#NAME?,EXCLUSIVA,DE,ONIBUS,,,,,
L4,2476,60,68,,,,'-23.64601700000000000,'-46.67119199999999800,,,AVENIDA,VEREADOR,JOAO,DE,LUCA,(DIADEMA/MARGINAL,"PINHEIROS),",NUMERO,221,,,,,,,,,
L4,2477,50,58,,,,'-23.64423899999999900,'-46.74296600000000300,,,ESTRADA,DE,ITAPECERICA,"(BAIRRO/CENTRO),",NUMERO,779,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,
L4,2478,60,68,,,,'-23.64423899999999900,'-46.74296600000000300,,,ESTRADA,DE,ITAPECERICA,"(BAIRRO/CENTRO),",NUMERO,779,,,,,,,,,,,,
L4,2479,50,58,,,,'-23.64426999999999900,'-46.74502600000000300,,,ESTRADA,DE,ITAPECERICA,"(CENTRO/BAIRRO),",NUMERO,1024,-,FAIXA,EXCLUSIVA,DE,ONIBUS,,,,,,,
L4,2480,60,68,,,,'-23.64426999999999900,'-46.74502600000000300,,,ESTRADA,DE,ITAPECERICA,"(CENTRO/BAIRRO),",NUMERO,1024,,,,,,,,,,,,
L4,2481,50,58,,,,'-23.65087300000000100,'-46.66990299999999800,,,AV,VEREADOR,JOAO,DE,LUCA,(MARG,"PINHEIROS/DIADEMA),",NR,790,-,FX,EXCL,DE,ONIBUS,,,,
L4,2482,60,68,,,,'-23.65087300000000100,'-46.66990299999999800,,,AVENIDA,VEREADOR,JOAO,DE,LUCA,(MARGINAL,"PINHEIROS/DIADEMA),",NUMERO,790,,,,,,,,,
L4,2483,50,58,,,,'-23.63700100000000100,'-46.69363400000000300,,,AV,VER,JOSE,DINIZ,"(C/B),",A,MAIS,92M,DA,R,AMERICO,BRASILIENSE-FX,EXCL,DE,ONIBUS,,,
L4,2484,60,68,,,,'-23.63700100000000100,'-46.69363400000000300,,,AV,VEREADOR,JOSE,DINIZ,"(CENTRO/BAIRRO),",A,MAIS,92M,DA,R,AMERICO,BRASILIENSE,,,,,,
L4,2485,40,48,,,,'-23.71555300000000000,'-46.69912699999999700,,,AVENIDA,SENADOR,TEOTONIO,VILELA,"(CENTRO/BAIRRO),",OPOSTO,AO,NUMERO,1583,,,,,,,,,
L4,2486,40,48,,,,'-23.69505699999999800,'-46.66663700000000100,,,PCA,ALEXANDRE,FRANCISCO,REBOUCAS,(BAIRRO/CENTRO),A,MAIS,47M,DA,EST,DO,ALVARENGA,,,,,,
L4,2487,40,48,,,,'-23.69505699999999800,'-46.66663700000000100,,,PCA,ALEXANDRE,FRANCISCO,REBOUCAS,(CENTRO/BAIRRO),A,MAIS,47M,DA,EST,DO,ALVARENGA,,,,,,
L4,2488,60,68,,,,'-23.59352700000000200,'-46.70646700000000300,,,AVENIDA,MORUMBI,(FRANCISCO,MORATO/PONTE,"MORUMBI),",NUMERO,2128,,,,,,,,,,,
L4,2489,40,48,,,,'-23.65611500000000000,'-46.73588900000000000,,,AVENIDA,MARIA,COELHO,AGUIAR,"(BAIRRO/CENTRO),",NUMERO,1359,,,,,,,,,,,
L4,2490,40,48,,,,'-23.65611500000000000,'-46.73588900000000000,,,AVENIDA,MARIA,COELHO,AGUIAR,"(CENTRO/BAIRRO),",NUMERO,1368,,,,,,,,,,,
L4,2491,40,48,,,,'-23.75563800000000100,'-46.67148999999999900,,,AVENIDA,DONA,BELMIRA,MARIN,"(BAIRRO/CENTRO),",NUMERO,4821A,,,,,,,,,,,
L4,2492,40,48,,,,'-23.75563800000000100,'-46.67148999999999900,,,AVENIDA,DONA,BELMIRA,MARIN,"(CENTRO/BAIRRO),",NUMERO,4816,,,,,,,,,,,
L4,2493,40,48,,,,'-23.79321900000000100,'-46.72925200000000300,,,AVENIDA,SADAMU,INOUE,"(CENTRO/BAIRRO),NUMERO",2666,,,,,,,,,,,,,
L4,2494,40,48,,,,'-23.79321900000000100,'-46.72925200000000300,,,AVENIDA,SADAMU,INOUE,"(BAIRRO/CENTRO),OPOSTO",AO,NUMERO,2666,,,,,,,,,,,
,2495,40,48,,,,,,,,AVENIDA,CARLOS,LACERDA,(CAPAO,REDONDO/CAMPO,"LIMPO),",NUMERO,3093,,,,,,,,,,
,2496,40,48,,,,,,,,RUA,DOUTOR,LUIZ,MIGLIANO,(VILA,"SONIA/MORUMBI),",NUMERO,644,,,,,,,,,,
,2497,40,48,,,,,,,,RUA,DOUTOR,LUIZ,MIGLIANO,(MORUMBI/VILA,"SONIA),",OPOSTO,NUMERO,644,,,,,,,,,
,2498,40,48,,,,,,,,AVENIDA,RODRIGUES,MONTEMOR,"(BAIRRO/CENTRO),",NUMERO,533,,,,,,,,,,,,
,2499,40,48,,,,,,,,AVENIDA,RODRIGUES,MONTEMOR,"(CENTRO/BAIRRO),",OPOSTO,AO,NUMERO,533,,,,,,,,,,
L4,2500,40,48,,,,'-23.63608599999999900,'-46.65080600000000300,,,AVENIDA,PEDRO,BUENO,"(CENTRO/BAIRRO),NUMERO",826,,,,,,,,,,,,,
L4,2501,40,48,,,,'-23.63684999999999900,'-46.65149699999999900,,,AVENIDA,PEDRO,BUENO,"(BAIRRO/CENTRO),",NUMERO,935,,,,,,,,,,,,
L4,2502,40,48,,,,'-23.67102200000000000,'-46.69632700000000000,,,AVENIDA,ENGENHEIRO,ALBERTO,DE,ZAGOTTIS,(CENTRO/BAIRRO),OPOSTO,AO,NUMERO,387,,,,,,,,
L4,2503,40,48,,,,'-23.67117500000000000,'-46.69659000000000000,,,AVENIDA,ENGENHEIRO,ALBERTO,DE,ZAGOTTIS,"(BAIRRO/CENTRO),",NUMERO,349,,,,,,,,,,
L4,2504,40,48,,,,'-23.69045100000000000,'-46.64367699999999700,,,AVENIDA,ANGELO,CRISTIANINI,"(CENTRO/BAIRRO),",OPOSTO,AO,NUMERO,1419,,,,,,,,,,
L4,2505,40,48,,,,'-23.69045100000000000,'-46.64367699999999700,,,AVENIDA,ANGELO,CRISTIANINI,"(BAIRRO/CENTRO),",NUMERO,1419,,,,,,,,,,,,
L4,2506,40,48,,,,'-23.62206300000000100,'-46.75907500000000300,,,ESTRADA,DO,CAMPO,LIMPO,(VILA,SONIA/CAMPO,"LIMPO),",NUMERO,5211,,,,,,,,,
L4,2507,40,48,,,,'-23.62206300000000100,'-46.75907500000000300,,,ESTRADA,DO,CAMPO,LIMPO,(CAMPO,LIMPO/VILA,"SONIA),",NUMERO,5214,,,,,,,,,
L4,2508,40,48,,,,'-23.64856300000000000,'-46.75963600000000000,,,ESTRADA,DO,CAMPO,LIMPO,(CAMPO,"LIMPO/MARGINAL),",OPOSTO,AO,NUMERO,640,,,,,,,,
L4,2509,60,68,,,,'-23.58652500000000200,'-46.69327899999999700,,,AVENIDA,DOS,TAJURAS,"(CENTRO/BAIRRO),",A,MENOS,14,METROS,DO,NUMERO,401,,,,,,,
L4,2510,40,48,,,,'-23.67842500000000100,'-46.77220200000000000,,,AVENIDA,COMENDADOR,SANTANNA,(ITAPECERICA/M,"BOI),",NUMERO,1370,,,,,,,,,,,
L4,2511,40,48,,,,'-23.67842500000000100,'-46.77220200000000000,,,AVENIDA,COMENDADOR,SANTANNA,(M,"BOI/ITAPECERICA),",NUMERO,1371,,,,,,,,,,,
L4,2512,40,48,,,,'-23.64964700000000200,'-46.64280300000000100,,,AVENIDA,FRANCISCO,DE,PAULA,QUINTANILHA,RIBEIRO,"(CENTRO/BAIRRO),",NUMERO,280,,,,,,,,,
L4,2513,40,48,,,,'-23.64964700000000200,'-46.64280300000000100,,,AVENIDA,FRANCISCO,DE,PAULA,QUINTANILHA,RIBEIRO,"(BAIRRO/CENTRO),OPOSTO",AO,NR,280,,,,,,,,
L4,2514,50,58,,,,'-23.59506000000000000,'-46.73846799999999700,,,AVENIDA,PROFESSOR,FRANCISCO,MORATO,"(CENTRO/BAIRRO),",NUMERO,4340,,,,,,,,,,,
L4,2515,50,58,,,,'-23.60829000000000000,'-46.72584200000000000,,,AV,GIOVANNI,GRONCHI,"(CENTRO/BAIRRO),",A,MENOS,47M,DA,R,ANTONIO,JULIO,DOS,SANTOS,,,,,
L4,2516,50,58,,,,'-23.60829000000000000,'-46.72584200000000000,,,AVENIDA,GIOVANNI,GRONCHI,"(BAIRRO/CENTRO),",MENOS,20M,DA,RUA,PASQUALE,GUALUPP,,,,,,,,
L4,2517,40,48,,,,'-23.61676800000000000,'-46.74079499999999900,,,AVENIDA,DOUTOR,GUILHERME,DUMONT,VILARES,"(GIOVANNI/MORATO),",NUMERO,1093,,,,,,,,,,
L4,2518,40,48,,,,'-23.61685600000000000,'-46.73577500000000000,,,RUA,MARECHAL,HASTINFILO,DE,MOURA,"(MORATO/GIOVANNI),",NUMERO,233,,,,,,,,,,
L4,2519,40,48,,,,'-23.61685600000000000,'-46.73577500000000000,,,RUA,MARECHAL,HASTINFILO,DE,MOURA,"(GIOVANNI/MORATO),",OPOSTO,AO,NUMERO,233,,,,,,,,
L4,2520,40,48,,,,'-23.58292399999999800,'-46.74968299999999700,,,AV,ENGENHEIRO,HEITOR,ANTONIO,EIRAS,GARCIA,"(BUTANTA/RAPOSO),",OPOSTO,AO,NR,1927,,,,,,,
L4,2521,40,48,,,,'-23.58292399999999800,'-46.74968299999999700,,,AVENIDA,ENGENHEIRO,HEITOR,ANTONIO,EIRAS,GARCIA,"(RAPOSO/BUTANTA),",NUMERO,1927,,,,,,,,,
L4,2522,40,48,,,,'-23.67840800000000100,'-46.77690900000000300,,,RUA,HENRIQUE,SAM,MINDLIN,(ITAPECERICA/M,"BOI),",NUMERO,407,,,,,,,,,,
L4,2523,40,48,,,,'-23.67840800000000100,'-46.77690900000000300,,,RUA,HENRIQUE,SAM,MINDLIN,(M,"BOI/ITAPECERICA),",NUMERO,408,,,,,,,,,,
L4,2524,50,58,,,,'-23.70929299999999900,'-46.70322399999999900,,,AVENIDA,INTERLAGOS,"(CENTRO/BAIRRO),",NUMERO,7250,,,,,,,,,,,,,
L4,2525,50,58,,,,'-23.70931399999999900,'-46.70294599999999700,,,AVENIDA,INTERLAGOS,"(BAIRRO/CENTRO),",NUMERO,7229,,,,,,,,,,,,,
L4,2526,40,48,,,,'-23.63343800000000200,'-46.73168900000000300,,,RUA,JOSE,RAMON,URTIZA,(GIOVANNI/MARGINAL,"PINHEIROS),",NUMERO,660,,,,,,,,,,
L4,2527,40,48,,,,'-23.63343800000000200,'-46.73168900000000300,,,RUA,JOSE,RAMON,URTIZA,(MARGINAL,"PINHEIROS/GIOVANNI),",NUMERO,901,,,,,,,,,,
L4,2528,40,48,,,,'-23.69967799999999900,'-46.78038000000000100,,,ESTRADA,DO,M,BOI,MIRIM,"(CENTRO/BAIRRO),",NUMERO,6880,,,,,,,,,,
L4,2529,40,48,,,,'-23.69967799999999900,'-46.78038000000000100,,,ESTRADA,DO,M,BOI,MIRIM,"(BAIRRO/CENTRO),",OPOSTO,AO,NUMERO,6880,,,,,,,,
L4,2530,40,48,,,,'-23.67220100000000100,'-46.71006400000000300,,,RUA,OLIVIA,GUEDES,PENTEADO,"(BAIRRO/CENTRO),",NUMERO,573,,,,,,,,,,,
L4,2531,40,48,,,,'-23.67220100000000100,'-46.71006400000000300,,,RUA,OLIVIA,GUEDES,PENTEADO,"(CENTRO/BAIRRO),",OPOSTO,AO,NUMERO,573,,,,,,,,,
L4,2532,50,58,,,,'-23.58950400000000200,'-46.70149599999999900,,,PCA,PROFESSOR,MEIRA,DE,VASCONCELLOS,"(BAIRRO/CENTRO),",A,MENOS,29M,DA,AV,AMARILIS,,,,,,
,2533,40,48,,,,,,,,AVENIDA,PRESIDENTE,ALTINO,(JAGUARE/RIO,"PEQUENO),",NUMERO,1141,,,,,,,,,,,
,2534,40,48,,,,,,,,AVENIDA,PRESIDENTE,ALTINO,(RIO,"PEQUENO/JAGUARE),",NUMERO,1138,,,,,,,,,,,
L4,2535,40,48,,,,'-23.69344500000000000,'-46.70155300000000000,,,AVENIDA,DO,RIO,BONITO,"(INTERLAGOS/GUARAPIRANGA),",NUMERO,2345,,,,,,,,,,,
L4,2536,40,48,,,,'-23.69344500000000000,'-46.70155300000000000,,,AVENIDA,DO,RIO,BONITO,"(GUARAPIRANGA/INTERLAGOS),",OPOSTO,AO,NUMERO,2345,,,,,,,,,
L4,2537,40,48,,,,'-23.82103700000000000,'-46.73628999999999700,,,AVENIDA,SADAMU,INOUE,"(CENTRO/BAIRRO),OPOSTO",AO,NUMERO,6291,,,,,,,,,,,
L4,2538,40,48,,,,'-23.82103700000000000,'-46.73628999999999700,,,AVENIDA,SADAMU,INOUE,"(BAIRRO/CENTRO),NUMERO",6291,,,,,,,,,,,,,
L4,2539,50,58,,,,'-23.59139400000000100,'-46.69493099999999700,,,TUNEL,SEBASTIAO,CAMARGO,"(MORUMBI/IBIRAPUERA),",A,MENOS,"26,50",METROS,DO,EMBOQUE,,,,,,,,
L4,2540,60,68,,,,'-23.59531600000000000,'-46.71563700000000100,,,AVENIDA,GIOVANNI,GRONCHI,"(BAIRRO/CENTRO),",A,MENOS,"7,0",METROS,DO,NUMERO,1065,,,,,,,
L4,2541,60,68,,,,'-23.60424200000000000,'-46.71239900000000000,,,AV,MORUMBI,(PTE,MORUMBI/FRANCISCO,"MORATO),",A,MENOS,16,METROS,DA,R,PADRE,LEBRET,,,,,
L4,2542,60,68,,,,'-23.60748299999999800,'-46.71257000000000000,,,AVENIDA,MORUMBI,(FRANCISCO,MORATO/PONTE,"MORUMBI),",NUMERO,4884,,,,,,,,,,,
L4,2543,60,68,,,,'-23.68885200000000000,'-46.67989000000000000,,,AVENIDA,NOSSA,SENHORA,DO,SABARA,"(BAIRRO/CENTRO),",NUMERO,4071,,,,,,,,,,
L4,2544,60,68,,,,'-23.68896900000000000,'-46.68006500000000000,,,AVENIDA,NOSSA,SENHORA,DO,SABARA,"(CENTRO/BAIRRO),",A,MAIS,"143,5M",DA,RUA,TABARE,,,,,,
