Empresa,COD_LOCAL,VELOC_VIA,VELOC_MARCA,VIA,SENTIDO,PISTA,Latitude,Longitude,Enquadramento_fiscalizados,Data_inicio_operacao,DESC_LOCAL,,,,,,,,,,,,,,,,,
,2091,60,68,,,,,,,,AV,GENERAL,EDGAR,"FACO,B/C,PROXIMO",RUA,CUSTODIO,DE,ARAUJO,,,,,,,,,,
,2092,60,68,,,,,,,,AV,GENERAL,EDGAR,"FACO,C/B,FRENTE",A,R,TOME,DA,COSTA,LEMOS,,,,,,,,
,2093,60,68,,,,,,,,AV,PARADA,"PINTO,BAIRRO/CENTRO,OPOSTO",AO,N,3002,,,,,,,,,,,,
,2094,60,68,,,,,,,,AV,PARADA,"PINTO,CENTRO/BAIRRO,FRENTE",AO,N,2904,,,,,,,,,,,,
,2095,60,68,,,,,,,,AV,SANTA,"INES,BAIRRO/CENTRO,OPOSTO",AO,N,3418,,,,,,,,,,,,
,2096,60,68,,,,,,,,AV,SANTA,"INES,C/B,FRENTE",N,2814(PX,PORTAO,7,DO,H.FLORESTAL),,,,,,,,,
,2097,70,78,,,,,,,,AV,ENG,CAETANO,ALVARES(CASA,VERDE/MARG,TIETE),OPOSTO,N,208,,,,,,,,,
,2098,70,78,,,,,,,,AV,LUIZ,DUMONT,"VILLARES,CENTRO/BAIRRO,PROXIMO",R,SAO,LEONCIO,,,,,,,,,,,
,2099,70,78,,,,,,,,AV,LUIZ,DUMONT,"VILLARES,BAIRRO/CENTRO,PX",R,PE,JOSE,REBOUCAS,,,,,,,,,,
,2100,70,78,,,,,,,,JACU,PESSEGO/AV,"N.TRABALHADORES,S.MIG/AV","R.CHOHFI,OP",N,2702,,,,,,,,,,,,
,2101,60,68,,,,,,,,AV,JOSE,MARIA,"WHITAKER,JABAQUARA/AV",RUBEM,"BERTA,FRENTE",N,967,,,,,,,,,,
,2102,70,78,,,,,,,,AV,GEORGE,"CORBISIER,CENTRO/BAIRRO,PROXIMO",A,PC,ACACIO,RAMOS,,,,,,,,,,,
,2103,50,58,,,,,,,,AV,"CECI,SENT.AV",JABAQUARA/AV,MOR.,"GUIMARAES,PX",AL,DOS,UAPES,,,,,,,,,,
,2104,70,78,,,,,,,,AV,MAGALHAES,DE,"CASTRO,CAST.BRANCO/INTERLAGOS,FRENTE",N,1226,,,,,,,,,,,,
,2105,70,78,,,,,,,,AV,MAGALHAES,DE,"CASTRO,CAST.BRANCO/INTERLAGOS,PROXIMO",N,5240,,,,,,,,,,,,
,2106,70,78,,,,,,,,AV,ENG,"BILLINGS,CAST.BRANCO/INTERLAGOS,PX",AV,ALEX.,MACKENZIE,,,,,,,,,,,,
,2107,70,78,,,,,,,,AV,DAS,NACOES,"UNIDAS,INTERL/CAST.BRANCO,FRENTE",PQ,VILA,LOBOS,,,,,,,,,,,
,2108,70,78,,,,,,,,AV,DR,RICARDO,"JAFET,FRENT",R,PEDRO,"CAMPANA,IPIRANG/IMIGRANTES",,,,,,,,,,,
,2109,70,78,,,,,,,,AV,DR,RICARDO,"JAFET,IMIGRANTES/IPIRANGA,",FRENTE,AO,N,1283,,,,,,,,,,
,2110,70,78,,,,,,,,AV,DR,RICARDO,"JAFET,IPIRANGA/IMIGRANTES,FRENTE",AO,N,2512,,,,,,,,,,,
,2111,60,68,,,,,,,,AV,PAULO,"VI,FRENTE",A,PCA,OSVALDO,C,S,"DIAS,PERDIZES/PINHEIROS",,,,,,,,,
,2112,60,68,,,,,,,,AV,PAULO,"VI,PROX.PC",CAETANO,"FRACCAROLI,PINHEIROS/PERDIZES",,,,,,,,,,,,,
,2113,60,68,,,,,,,,AV,PAULO,"VI,FRENTE",PCA,ANA,MARIA,"POPPOVIC,PERDIZES/PINHEIROS",,,,,,,,,,,
,2114,60,68,,,,,,,,AV,EMERICO,"RICHTER,PROXIMO",E,OPOSTO,A,R,JOAO,"BARROSO,C/B",,,,,,,,,
,2115,70,78,,,,,,,,AV,DAS,NACOES,"UNIDAS,PX",R,BRAGANCA,"PTA,INTERLAGOS/C.BRANCO",,,,,,,,,,,
,2116,60,68,,,,,,,,AV,DO,"IMPERADOR,AGUIA",DE,HAIA/PIRES,DO,"RIO,",PX,RUA,COMARIM,,,,,,,,
,2117,70,78,,,,,,,,AV,DAS,NACOES,"UNIDAS,FRENTE",AON,"22452,CASTELO",BCO/INTERLAGOS,,,,,,,,,,,
,2118,70,78,,,,,,,,AV,DAS,NACOES,"UNIDAS,CASTELO","BRANCO/INTERLAGOS,PX",AO,N,21476,,,,,,,,,,
,2119,70,78,,,,,,,,AV,DAS,NACOES,"UNIDAS,INTERLAGOS/CAST.BCO,",FRENTE,AO,N,22939,,,,,,,,,,
,2120,70,78,,,,,,,,AV,DAS,NACOES,"UNIDAS,INTERLAGOS/CAST.BCO,PX",R,MOACIR,PADILHA,,,,,,,,,,,
,2121,70,78,,,,,,,,COMPLEXO,VIARIO,MARIA,"MALUF,PXR",N,SRA,DA,"SAUDE,IMIG/IPIRANGA",,,,,,,,,,
,2122,60,68,,,,,,,,AV,ANTONIO,"BATUIRA,OPOSTO",AO,"N177,MARG",PINHEIROS/LAPA,,,,,,,,,,,,
,2123,60,68,,,,,,,,AV,"MORUMBI,PX",R,HEITOR,PORTUGAL(R,COL.PIO,XII/PONTE,MORUMBI),,,,,,,,,,
,2124,50,58,,,,,,,,AV,"MORUMBI,PX",R,LEONOR,QUADROS,(PONTE,MORUMBI/R,COL.PIO,XII),,,,,,,,,
,2125,50,58,,,,,,,,ESTR.DO,M,BOI,"MIRIM,OPOSTO",E,PROXIMO,A,R,PIERRE,"LEGROS,B/C",,,,,,,,
,2126,70,78,,,,,,,,AV,LUIZ,DUMONT,"VILLARES,PROXIMO",A,R,24,DE,"DEZEMBRO,C/B",,,,,,,,,
,2127,70,78,,,,,,,,AV,J.ROBERTO,MARINHO(AV,"A.ESPRAIADA),JAB/M.PIN,PROXIMO",N,124,,,,,,,,,,,,
,2128,70,78,,,,,,,,AV,J.ROBERTO,MARINHO(AV,"A.ESPR),JAB/M.PINH.PROX",R,CALIFORNIA,,,,,,,,,,,,
,2129,70,78,,,,,,,,AV,CDESSA,ELIZABETH,DE,"ROBIANO,PX",AO,N,"2176,CAST.BCO/A.SENNA",,,,,,,,,,
,2130,70,78,,,,,,,,AV,J.ROBER.MARINHO(AV,"A.ESPRAIADA)M.PIN/JB,PX",R,GODOI,COLACO,,,,,,,,,,,,
,2131,70,78,,,,,,,,AV,J.ROBER.MARINHO(AV,"A.ESPR),M.PIN/JB,FRENT.PC",A.ISSA,MALUF,,,,,,,,,,,,,
,2132,60,68,,,,,,,,AV,PAULO,"VI,PX",E,SOB,VD,DR,JOAO,"TRANCHESI,PINHEIROS/PERDIZES",,,,,,,,,
,2133,60,68,,,,,,,,AV,PAULO,"VI,PROXIMO",A,R,"ATALAIA,PINHEIROS/PERDIZES",,,,,,,,,,,,
,2134,70,78,,,,,,,,AV,"J.ROBER.MARINHO(A.ESPR),JAB/M.PIN,FR.R",CRISTOVAO,PEREIRA,,,,,,,,,,,,,,
,2135,40,48,,,,,,,,R,DUARTE,DA,"COSTA,CENTRO/BAIRRO,PROXIMO",AO,NUMERO,178,,,,,,,,,,,
,2136,40,48,,,,,,,,R,DUARTE,DA,"COSTA,BAIRRO/CENTRO,PROXIMO",AO,NUMERO,309,,,,,,,,,,,
,2137,90,98,,,,,,,,AV,ABRAO,DE,"MORAES,IMIGRANTES/IPIRANGA,PX",VD,MATHEUS,TORLONI,,,,,,,,,,,
,2138,50,58,,,,,,,,R,DUARTE,DA,"COSTA,CENTRO/BAIRRO,PROXIMO",AO,NUMERO,1086,,,,,,,,,,,
,2139,50,58,,,,,,,,R,"ALIADOS,BAIRRO/CENTRO,PROXIMO",AO,NUMERO,456,,,,,,,,,,,,,
,2140,50,58,,,,,,,,AV,PE,PEREIRA,DE,"ANDRADE,LAPA/PINHEIROS,PROXIMO",NUMERO,500,,,,,,,,,,,
,2141,50,58,,,,,,,,AV,PE,PEREIRA,DE,"ANDRADE,PINHEIROS/LAPA,PROXIMO",NUMERO,519,,,,,,,,,,,
,2142,60,68,,,,,,,,AV,GEN,EDGAR,"FACO,CENTRO/BAIRRO,PX",A,R,MANUEL,DA,SILVA,PORTO,,,,,,,,
,2143,70,78,,,,,,,,JACU,PESSEGO/NOVA,"TRABALHADORES,PX",R,GO,"SUGAYA,S.MAT./S.MIG.",,,,,,,,,,,,
,2144,70,78,,,,,,,,JACU,PESSEGO/NOVA,"TRABALHADORES,PX",E,OPOS.N,"2001,S.MIG/S.MAT",,,,,,,,,,,,
,2145,70,78,,,,,,,,JACU,PESSEGO/N.TRAB.OP,E,PX.R,C.MANUEL,F.DE,"SOUZA,S.MG/S.MT",,,,,,,,,,,
,2146,70,78,,,,,,,,JACU,PESSEGO/N.TRABALH.PX,R,C.MANUEL,F.DE,"SOUZA,S.MT/S.MG",,,,,,,,,,,,
,2147,70,78,,,,,,,,JACU,PESSEGO/NOVA,"TRABALHADORES,PX",N,"701,S.MATHEUS/S.MIGUEL",,,,,,,,,,,,,
,2148,90,98,,,,,,,,AV,MARGINAL,DO,RIO,"TIETE,PROXIMO",AO,KM,"22,0,C.BRANCO/A.SENNA",,,,,,,,,,
,2149,70,78,,,,,,,,AV,CDESSA,ELIZABETH,"ROBIANO,PX",R,SOUSA,"MELO,C.BRANCO/A.SENNA",,,,,,,,,,,
,2150,70,78,,,,,,,,JACU,PESSEGO/NOVA,"TRABALHADORES,PX",N,"250,S.MIGUEL/S.MATHEUS",,,,,,,,,,,,,
,2151,60,68,,,,,,,,AV,DOM,HELDER,"CAMARA,BAIRRO/CENTRO,PROXIMO",AO,NUMERO,671,,,,,,,,,,,
,2152,60,68,,,,,,,,AV,DOM,HELDER,"CAMARA,BAIRRO/CENTRO,PX",A,R,JOAQUIM,DE,ORNELAS,,,,,,,,,
,2153,60,68,,,,,,,,AV,DOM,HELDER,"CAMARA,CENTRO/BAIRRO,PROXIMO",AO,NUMERO,676,,,,,,,,,,,
,2154,60,68,,,,,,,,AV,CALIM,"EID,B/C,PROXIMO",E,OPOSTO,A,R,ZELIA,MOREIRA,DAMANTE,,,,,,,,
,2155,60,68,,,,,,,,AV,CALIM,"EID,BAIRRO/CENTRO,PROXIMO",E,OPOSTO,A,R,TARU,,,,,,,,,,
,2156,60,68,,,,,,,,AV,CALIM,"EID,CENTRO/BAIRRO,PROXIMO",A,R,TARU,,,,,,,,,,,,
,2157,60,68,,,,,,,,AV,SEN,TEOTONIO,"VILELA,CENTRO/BAIRRO,PROXIMO",AO,NUMERO,5948,,,,,,,,,,,
,2158,60,68,,,,,,,,AV,SEN,TEOTONIO,"VILELA,CENTRO/BAIRRO,PX",R,BALNEARIO,SAO,JOSE,,,,,,,,,,
,2159,60,68,,,,,,,,AV,SEN,TEOTONIO,"VILELA,CENTRO/BAIRRO,PROXIMO",R,STEPHEN,BENET,,,,,,,,,,,
,2160,60,68,,,,,,,,AV,SEN,TEOTONIO,"VILELA,BAIRRO/CENTRO,PROXIMO",E,OPOSTO,N,6628,,,,,,,,,,
,2161,70,78,,,,,,,,AV,DAS,NACOES,"UNIDAS(M.P),CB/IN,PX",E,OP,R,BENEDITO,FERNANDES,,,,,,,,,
,2162,70,78,,,,,,,,AV,DAS,NACOES,"UNIDAS(M.P),INTERLAG/C.BCO,PX",R,ATILIO,MILANO,,,,,,,,,,,
,2163,60,68,,,,,,,,AV,ROBERT,"KENNEDY,CENTRO/BAIRRO,PROXIMO",A,R,MARCILIO,DIAS,,,,,,,,,,,
,2164,60,68,,,,,,,,AV,ROBERT,"KENNEDY,CENTRO/BAIRRO,PROXIMO",E,OPOSTO,A,R,RIMINI,,,,,,,,,,
,2165,60,68,,,,,,,,AV,ROBERT,"KENNEDY,C/B,PROXIMO",R,JOSE,MARQUES,DO,NASCIMENTO,,,,,,,,,,
,2166,60,68,,,,,,,,AV,ROBERT,"KENNEDY,BAIRRO/CENTRO,PROXIMO",A,R,LAPONIA,,,,,,,,,,,,
,2167,60,68,,,,,,,,AV,ROBERT,"KENNEDY,BAIRRO/CENTRO,PX",A,AV,JOAO,MARTINS,EREDIA,,,,,,,,,,
,2168,60,68,,,,,,,,VD,DR,PLINIO,DE,"QUEIROZ,SOBRE",A,PRACA,14,"BIS,CENTRO/BAIRRO",,,,,,,,,
,2169,60,68,,,,,,,,VD,DR,PLINIO,DE,"QUEIROZ,SOBRE",A,PRACA,14,"BIS,BAIRRO/CENTRO",,,,,,,,,
,2170,60,68,,,,,,,,R,"ALVINOPOLIS,PX",A,ESTACAO,VILA,"MATILDE(METRO),BAIRRO/CENTRO",,,,,,,,,,,,
,2171,60,68,,,,,,,,R,"ALVINOPOLIS,PROXIMO",A,EMEINENE,DO,"AMANHA,BAIRRO/CENTRO",,,,,,,,,,,,
