1190,86064,R.,Cardoso,de,Almeida,prox.,R.,Tacito,de,Almeida,(Sentido,Pacaembu/Barra,Funda),,,,,,
6000,9902001,Rua,Nova,Brasilia,proximo,a,Rua,Primeiro,Sorriso,(Sapopemba/Barreira,Grande),,,,,,,,
6001,9902001,Rua,Nova,Brasilia,proximo,a,Rua,Primeiro,Sorriso,(Barreira,Grande/Sapopemba),,,,,,,,
6002,9902007,Rua,Ana,Clara,proximo,a,Rua,Santa,Zita,(Morais,Costa/Oratorio),,,,,,,,
6003,9902004,Av.,Eng.,Heitor,Antonio,Eiras,Garcia,px.,R.,Cel.,Paulo,Souza,Barros,(Raposo/Butanta),,,,,
6004,9902004,Av.,Eng.,Heitor,Antonio,Eiras,Garcia,px.,R.,Cel.,Paulo,Souza,Barros,(Butanta/Raposo),,,,,
6005,9902003,Rua,Cel.,Diogo,prox.,Rua,Mariano,Procopio,(Cambuci/Ipiranga),,,,,,,,,,
6006,9902003,Rua,Cel.,Diogo,prox.,Rua,Mariano,Procopio,(Ipiranga/Cambuci),,,,,,,,,,
6007,9902005,Av.,Sadamu,Inoue,alt.,do,n0,2666,(Centro/Bairro),,,,,,,,,,
6008,9902005,Av.,Sadamu,Inoue,alt.,do,n0,2666,(Bairro/Centro),,,,,,,,,,
6009,9902010,Av.,Sadamu,Inoue,alt.,do,n0,6291,(Centro/Bairro),,,,,,,,,,
6010,9902010,Av.,Sadamu,Inoue,alt.,do,n0,6291,(Bairro/Centro),,,,,,,,,,
6011,9902006,Av.,Sapopemba,,proximo,a,Travessa,Ester,Gawendo,(Sao,Lucas/Sapopemba),,,,,,,,
6012,9902006,Av.,Sapopemba,proximo,a,Travessa,Ester,Gawendo,(Sapopemba/Sao,Lucas),,,,,,,,,
6014,9902009,Rua,Henrique,Sam,Mindlin,prox.,Rua,Abilio,Cesar,(M'Boi,Mirim/Itapecerica),,,,,,,,
6013,9902009,Rua,Henrique,Sam,Mindlin,prox.,Rua,Abilio,Cesar,(Itapecerica/M'Boi,Mirim),,,,,,,,
6015,9902008,Av.,Francisco,de,Paula,Q.,Ribeiro,em,frente,ao,n0,280,(Centro/Bairro,),,,,,
6016,9902008,Av.,Francisco,de,Paula,Q.,Ribeiro,em,frente,n0,280,(Bairro/Centro),,,,,,,
6017,9902017,Av.,do,Cursino,altura,do,numero,6319,(Sao,Paulo/,Diadema),,,,,,,,
6018,9902017,Av.,do,Cursino,altura,do,numero,6319,(Diadema/,Sao,Paulo),,,,,,,,
6019,9902015,Estrada,do,M',Boi,Mirim,altura,do,numero,6880,(Centro/Bairro),,,,,,,,
