cod_prodam,desc_local,latitude,longitude
2503,"Avenida Engenheiro Alberto de Zagottis (Bairro/Centro), Número 349",-23.67117500000000200,-46.69659000000000000
2504,Avenida Ângelo Cristianini (Bairro/Centro) Número 1.419,-23.69045100000000000,-46.64367699999999700
2505,Avenida Ângelo Cristianini (Bairro/Centro) Número 1.419,-23.69045100000000000,-46.64367699999999700
2506,"Estrada do Campo Limpo, Número 5211",-23.62206300000000100,-46.75907500000000300
2507,"Estrada do Campo Limpo, Número 5211",-23.62206300000000100,-46.75907500000000300
2508,"Estrada do Campo Limpo (Campo Limpo/Marginal), oposto ao Número 640",-23.64856299999999900,-46.75963600000000000
2509,Avenida dos Tajurás (Centro/Bairro) a menos 14 metros do Número 401,-23.58652500000000200,-46.69327899999999700
2510,"Avenida Comendador Santanna, Número 1370",-23.67842500000000100,-46.77220200000000000
2511,"Avenida Comendador Santanna, Número 1370",-23.67842500000000100,-46.77220200000000000
2512,Avenida Francisco De Paula Quintanilha Ribeiro Número 280,-23.64964700000000200,-46.64280300000000100
2513,Avenida Francisco De Paula Quintanilha Ribeiro Número 280,-23.64964700000000200,-46.64280300000000100
2514,Avenida Professor Francisco Morato (Centro/Bairro) Número 4.340,-23.59506000000000000,-46.73846799999999700
2515,Avenida Giovanni Gronchi,-23.60829000000000000,-46.72584200000000000
2516,Avenida Giovanni Gronchi,-23.60829000000000000,-46.72584200000000000
2517,"Avenida Doutor Guilherme Dumont Vilares, Número 1093",-23.61676800000000000,-46.74079499999999900
2518,"Rua Marechal Hastinfilo de Moura (Morato/Giovanni), Número 233",-23.61685599999999900,-46.73577499999999700
2519,"Rua Marechal Hastinfilo de Moura (Morato/Giovanni), Número 233",-23.61685599999999900,-46.73577499999999700
2520,"Avenida Engenheiro Heitor Antônio Eiras Garcia, Númeror1927",-23.58292399999999800,-46.74968299999999700
2521,"Avenida Engenheiro Heitor Antônio Eiras Garcia, Númeror1927",-23.58292399999999800,-46.74968299999999700
2522,"Rua Henrique Sam Mindlin, Número 407",-23.67840800000000100,-46.77690900000000300
2523,"Rua Henrique Sam Mindlin, Número 407",-23.67840800000000100,-46.77690900000000300
2524,Avenida Interlagos (Centro/Bairro) Número 7250,-23.70929299999999900,-46.70322399999999900
2525,Avenida Interlagos (Bairro/Centro) Número 7229,-23.70931399999999900,-46.70294599999999700
2526,"Rua José Ramon Urtiza, Número 660",-23.63343800000000200,-46.73168900000000300
2527,"Rua José Ramon Urtiza, Número 660",-23.63343800000000200,-46.73168900000000300
2528,"Estrada do M Boi Mirim, Número 6880",-23.69967799999999900,-46.78038000000000100
2529,"Estrada do M Boi Mirim, Número 6880",-23.69967799999999900,-46.78038000000000100
2530,"Rua Olívia Guedes Penteado, Número 573",-23.67220100000000100,-46.71006400000000300
2531,"Rua Olívia Guedes Penteado, Número 573",-23.67220100000000100,-46.71006400000000300
2532,"Pça Professor Meira de Vasconcellos (Bairro/Centro), a menos 29m da Av Amarilis",-23.58950400000000200,-46.70149599999999900
2533,"Avenida Presidente Altino, Número 1141",-23.54599999999999900,-46.75059499999999700
2534,"Avenida Presidente Altino, Número 1141",-23.54599999999999900,-46.75059499999999700
2535,"Avenida do Rio Bonito, Número 2345",-23.69344500000000000,-46.70155299999999700
2536,"Avenida do Rio Bonito, Número 2345",-23.69344500000000000,-46.70155299999999700
2537,Avenida Sadamu Inoue Número 6.291,-23.82103700000000000,-46.73628999999999700
2538,Avenida Sadamu Inoue Número 6.291,-23.82103700000000000,-46.73628999999999700
2539,"Túnel Sebastião Camargo (Morumbi/Ibirapuera) a menos 26,50 metros do Emboque",-23.59139400000000100,-46.69493099999999700
2540,"Avenida Giovanni Gronchi (Bairro/Centro) a menos 7,0 Metros do Número 1065",-23.59531600000000000,-46.71563700000000100
2541,Av Morumbi (Pte Morumbi/Francisco Morato) a menos 16 metros da R Padre Lebret,-23.60424199999999900,-46.71239899999999800
2542,"Avenida Morumbi (Francisco Morato/Ponte Morumbi), Numero 4884",-23.60748299999999800,-46.71257000000000000
2543,"Avenida Nossa Senhora do Sabará (Bairro/Centro), Número 4071",-23.68885200000000100,-46.67989000000000000
2544,"Avenida Nossa Senhora do Sabará (Centro/Bairro) a mais 143,5m da Rua Tabaré",-23.68896900000000000,-46.68006499999999900
2545,"Avenida Nossa Senhora do Sabará (Centro/Bairro) a mais 143,5m da Rua Tabaré",-23.68896900000000000,-46.68006499999999900
2546,"Avenida Cupecê (Diadema/Marginal), a menos 14M da Rua Anália Maria de Jesus",-23.66672099999999900,-46.65486500000000100
2547,"Avenida Cupecê (Diadema/Marginal), a menos 14M da Rua Anália Maria de Jesus",-23.66672099999999900,-46.65486500000000100
2548,Avenida Cupecê (Diadema/Marginal) a mais 26m da Rua José Virginio Simões,-23.67649099999999900,-46.64183400000000300
2549,Avenida Cupecê (Diadema/Marginal) a mais 26m da Rua José Virginio Simões,-23.67649099999999900,-46.64183400000000300
2550,Avenida Atlântica (Bairro/Centro) a menos 18 Metros da Rua Nicolau Magnoli,-23.71250699999999900,-46.70982399999999800
2551,Avenida Atlântica (Bairro/Centro) a menos 18 Metros da Rua Nicolau Magnoli,-23.71250699999999900,-46.70982399999999800
2552,Av. Corifeu de Azevedo Marques (B/C) a mais 190m da R. Amorim Castro,-23.57341800000000000,-46.73723600000000300
2553,Av. Corifeu de Azevedo Marques (B/C) a mais 190m da R. Amorim Castro,-23.57341800000000000,-46.73723600000000300
2554,Av. Corifeu de Azevedo Marques (C/B)a mais 92M da R.Profº Gab. S T de Carvalho,-23.57077200000000200,-46.74014300000000300
2555,Av. Corifeu de Azevedo Marques (C/B)a mais 92M da R.Profº Gab. S T de Carvalho,-23.57077200000000200,-46.74014300000000300
2556,Avenida Senador Teotonio Vilela (Bairro/Centro) Número 5351,-23.74459600000000100,-46.70683300000000300
2557,Avenida Senador Teotonio Vilela (Bairro/Centro) Número 5351,-23.74459600000000100,-46.70683300000000300
2558,Av. Sen. Teotonio Vilela (Centro/Bairro) a menos 10M da Rua Balneario São José,-23.76431500000000000,-46.71652999999999900
2559,Av. Sen. Teotonio Vilela (Centro/Bairro) a menos 10M da Rua Balneario São José,-23.76431500000000000,-46.71652999999999900
2560,"Avenida Giovanni Gronchi (Centro/Bairro), a menos 22 metros do Número 4864",-23.62148500000000000,-46.73364300000000100
2561,"Avenida Giovanni Gronchi (Centro/Bairro), a mais 45 metros da R. Caxé",-23.63694599999999800,-46.73702600000000000
2562,"Avenida Giovanni Gronchi (Centro/Bairro), a mais 45 metros da R. Caxé",-23.63694599999999800,-46.73702600000000000
2563,"Avenida Giovanni Gronchi (Bairro/Centro), Número 6701",-23.63635599999999900,-46.73696900000000200
2564,"Avenida João Dias (Centro/Bairro), a mais 24,7metros do Número 966",-23.64595400000000000,-46.70955699999999700
2565,"Avenida João Dias (Centro/Bairro), a mais 24,7metros do Número 966",-23.64595400000000000,-46.70955699999999700
2566,"Av. João Dias (Bairro/Centro) a mais 7,9m da Rua Barão do Rio Branco",-23.64594800000000100,-46.71016699999999800
2567,"Av. João Dias (Bairro/Centro) a mais 7,9m da Rua Barão do Rio Branco",-23.64594800000000100,-46.71016699999999800
2568,Estrada do Campo Limpo(Cpo/Vl Sônia) a mais 123m da R Domingos de Meira,-23.61290700000000000,-46.75494799999999900
2569,Estrada do Campo Limpo(Cpo/Vl Sônia) a mais 123m da R Domingos de Meira,-23.61290700000000000,-46.75494799999999900
2571,"Avenida Santo Amaro (Centro/Bairro), a mais 28M da Rua Verbo Divino",-23.63835570000000200,-46.69722000000000200
2572,"Avenida Nossa Senhora do Sabara (Bairro/Centro), Numero 3515",-23.68421899999999900,-46.68110999999999700
2573,"Avenida Nossa Senhora do Sabara (Centro/Bairro), Numero 3446",-23.68396600000000200,-46.68127799999999900
2574,"Avenida Nossa Senhora do Sabara (Centro/Bairro), a mais 10M da Rua Quararibeia",-23.66989299999999800,-46.68881600000000300
2575,"Av Nossa Senhora do Sabara (B/C), a mais 10M da R Monsenhor Alfredo P Sampaio",-23.66849300000000200,-46.68939999999999900
2576,"Avenida Nossa Senhora do Sabara (Centro/Bairro), a menos 43M do Numero 4780",-23.69419699999999900,-46.67747099999999700
2577,Avenida Cupecê (Marginal/Diadema) Número 2.958,-23.66611700000000000,-46.65665400000000300
2578,Avenida Cupecê (Marginal/Diadema) Número 2.958,-23.66611700000000000,-46.65665400000000300
2579,Avenida Cupecê (Marginal/Diadema) a mais 20m do Número 4820,-23.67608879999999900,-46.64211300000000200
2580,Avenida Cupecê (Marginal/Diadema) a mais 20m do Número 4820,-23.67608879999999900,-46.64211300000000200
2581,Av Eng Billings (C Branco/Interlagos) a mais 22 metros da R Barão de Antonina,-23.53976099999999900,-46.74275200000000300
2582,Avenida Guido Caloi (Castelo Branco/Interlagos) a mais 72m do Número 25,-23.64771800000000100,-46.72763400000000200
2583,Avenida Dona Belmira Marin (Bairro/Centro) a menos 60 metros do Número 2.672,-23.75323699999999900,-46.68834300000000300
2584,Av Dona Belmira Marin (Centro/Bairro) a mais 60m da Rua Elisia G. Barcelos,23.75338599999999900,-46.68853800000000100
2585,"Av Dona Belmira Marin (C/B), a mais 322m da Av Antônio C Benjamin dos Santos",-23.74419000000000000,-46.69086500000000200
2586,Av Dona Belmira Marin (Centro/Bairro) a mais 63 metros da R Domenico Cimarosa,-23.73696100000000100,-46.69366800000000200
2587,Avenida Giovanni Gronchi (Centro/Bairro) oposto ao Número 705,-23.59572800000000100,-46.71418880000000200
2588,Avenida dos Tajurás (Bairro/Centro) Número 406,-23.58689899999999900,-46.69319200000000300
2589,Estrada de Itapecerica (Centro/Bairro) a menos 55m da Rua João Francisco Delmas,-23.65387499999999900,-46.75979600000000100
2590,Estrada de Itapecerica (Bairro/Centro) Número 2979,-23.65383500000000100,-46.75968600000000200
2591,Estrada de Itapecerica (Bairro/Centro) Número 2979,-23.65383500000000100,-46.75968600000000200
2593,Avenida Vereador José Diniz (Bairro/Centro) a mais 26M da Rua Joaquim Nabuco,-23.62499400000000100,-46.68212100000000200
2594,Avenida Vereador José Diniz (Bairro/Centro) a mais 26M da Rua Joaquim Nabuco,-23.62499400000000100,-46.68212100000000200
2595,Av. Vereador José Diniz (Centro/Bairro) X R. Joaquim Nabuco,-23.62478799999999900,-46.68243400000000100
2596,Av. Vereador José Diniz (Centro/Bairro) X R. Joaquim Nabuco,-23.62478799999999900,-46.68243400000000100
2597,Av Dona Belmira Marin (Bairro/Centro) a menos 6m da R Ten Cel Herman José Rocha,-23.74079499999999900,-46.69139100000000300
2598,"Av. Professor Francisco Morato (Centro/Bairro)a menos de 10,5M da R Dráusio",-23.57735999999999900,-46.70828999999999800
2599,"Av. Professor Francisco Morato (Centro/Bairro)a menos de 10,5M da R Dráusio",-23.57735999999999900,-46.70828999999999800
2600,"Av. Prof. Francisco Morato (B/C), a menos 20M da Rua Gal Sena Vasconcelos",-23.58341800000000200,-46.71457699999999800
2601,"Av. Prof. Francisco Morato (B/C), a menos 20M da Rua Gal Sena Vasconcelos",-23.58341800000000200,-46.71457699999999800
2602,Av.Vereador José Diniz (Bairro/Centro) a menos 70M da R. Américo Brasiliense,-23.63685800000000000,-46.69380999999999900
2603,Av.Vereador José Diniz (Bairro/Centro) a menos 70M da R. Américo Brasiliense,-23.63685800000000000,-46.69380999999999900
2604,"Avenida Interlagos (Bairro/Centro),  Número 5019",-23.68885600000000100,-46.69721599999999700
2605,"Av Interlagos (Centro/Bairro), a menos 24m da R Eng Allyrio Hugueney de Mattos",-23.65777200000000100,-46.67976800000000300
2610,Av Eng Armando de Arruda Pereira (Bairro/Centro) a mais 15M da R Fachini,-23.65804700000000000,-46.63570000000000000
2611,Av das Nações Unidas (Interlagos/C.Branco) a mais10M da R Bragança Paulista,-23.63728899999999900,-46.72033700000000100
2612,Av das Nações Unidas (Inter/C.Branco) x R Guriú,-23.67420200000000100,-46.70000499999999700
